SplitID,SplitIndex,Split,StrokeRate
5480,8,11494,
5482,2,2998,
5482,4,6044,
5482,6,9327,
5482,8,12281,
5484,2,3608,
5484,4,7221,
5484,6,10574,
5484,8,13792,
5486,2,2426,
5486,4,5014,
5486,6,7511,
5486,8,10051,
5488,2,3210,
5488,4,6432,
5488,6,9482,
5488,8,12256,
5490,2,3161,
5490,4,6700,
5490,6,9561,
5490,8,12786,
5490,10,15494,
5490,12,18634,
5490,14,21380,
5490,16,24367,
5492,2,3087,
5492,4,6454,
5492,6,9780,
5492,8,13471,
5492,10,16609,
5492,12,20201,
5492,14,23292,
5492,16,26768,
5494,2,3348,
5494,4,6992,
5494,6,10423,
5494,8,14204,
5494,10,17936,
5494,12,22541,
5494,14,25770,
5494,16,29552,
5496,2,2860,
5496,4,6246,
5496,6,9459,
5496,8,13212,
5496,10,16446,
5496,12,20085,
5496,14,23383,
5496,16,27253,
5498,2,3312,
5498,4,7074,
5498,6,10365,
5498,8,13990,
5498,10,17331,
5498,12,21074,
5498,14,24357,
5498,16,27926,
6165,2,3920,
6165,4,8711,
6166,2,3447,
6166,4,7770,
6166,6,12537,
6166,8,16128,
6167,2,3234,
6167,4,6904,
6167,6,10635,
6167,8,14272,
6167,10,17928,
6167,12,21513,
6167,14,25219,
6167,16,28958,
6167,18,32646,
6167,20,36092,
6168,2,2763,
6168,4,6204,
6168,6,9735,
6168,8,12920,
6169,2,2979,
6169,4,6301,
6170,2,3131,
6170,4,6613,
6171,2,3939,
6171,4,8159,
6172,2,3415,
6172,4,7530,
6172,6,12928,
6172,8,16679,
6173,2,3077,
6173,4,6630,
6173,6,10467,
6173,8,14586,
6173,10,18830,
6173,12,23137,
6173,14,27447,
6173,16,31823,
6173,18,36075,
6173,20,39888,
6174,2,3484,
6174,4,8078,
6175,2,3325,
6175,4,7283,
6176,2,4354,
6176,4,9643,
6177,2,2931,
6177,4,6165,
6177,6,9587,
6177,8,13191,
6178,2,3110,
6178,4,6488,
6178,6,10086,
6178,8,13780,
6178,10,17635,
6178,12,21537,
6178,14,25491,
6178,16,29359,
6178,18,33229,
6178,20,36826,
6180,2,3615,
6180,4,7874,
6182,2,3340,
6182,4,7272,
6182,6,11658,
6182,8,15675,
6183,2,3473,
6183,4,7714,
6183,6,12218,
6183,8,16953,
6183,10,21794,
6183,12,31369,
6183,16,36263,
6183,18,41086,
6183,20,45288,
6184,2,3015,
6184,4,6376,
6184,6,10037,
